Total,Delayed,Cancelled,Problematic,PathName
3432,688,40,728,BOS->RSW
1216,426,12,438,BOS->SAN
178,52,4,56,BOS->SAV
160,54,2,56,BOS->SDF
1958,512,28,540,BOS->SEA
5336,1570,84,1654,BOS->SFO
512,86,4,90,BOS->SJC
2548,456,18,474,BOS->SJU
1414,294,6,300,BOS->SLC
46,18,0,18,BOS->SRQ
1730,216,68,284,BOS->STL
176,48,0,48,BOS->STT
3570,946,52,998,BOS->TPA
552,32,38,70,BPT->IAH
1850,274,38,312,BQK->ATL
732,90,2,92,BQN->EWR
1322,184,8,192,BQN->JFK
984,136,8,144,BQN->MCO
2928,424,108,532,BRO->IAH
728,184,20,204,BRW->ANC
728,258,14,272,BRW->FAI
1416,98,36,134,BTM->SLC
5326,1272,130,1402,BTR->ATL
4,0,0,0,BTR->CVG
258,66,2,68,BTR->DCA
2,2,0,2,BTR->DEN
5844,1362,222,1584,BTR->DFW
4018,802,180,982,BTR->IAH
1998,242,72,314,BTR->MEM
2,0,0,0,BTR->MSY
430,192,32,224,BTR->ORD
1000,272,14,286,BTV->ATL
1076,104,8,112,BTV->BWI
1228,256,14,270,BTV->CLE
306,74,6,80,BTV->CVG
1652,296,36,332,BTV->DTW
1758,822,76,898,BTV->EWR
258,64,10,74,BTV->IAD
2,0,0,0,BTV->IND
4414,1102,184,1286,BTV->JFK
692,110,4,114,BTV->MCO
150,16,2,18,BTV->MSP
1474,380,26,406,BTV->ORD
7150,1514,138,1652,BUF->ATL
1456,324,56,380,BUF->BOS
4878,844,58,902,BUF->BWI
1266,472,30,502,BUF->CLE
2870,376,40,416,BUF->CLT
320,44,6,50,BUF->CVG
624,50,10,60,BUF->DCA
186,38,4,42,BUF->DFW
3020,480,68,548,BUF->DTW
2938,918,150,1068,BUF->EWR
1344,204,8,212,BUF->FLL
32,8,4,12,BUF->IAD
7358,1852,230,2082,BUF->JFK
1178,192,8,200,BUF->LAS
3752,636,32,668,BUF->MCO
2552,332,30,362,BUF->MDW
454,100,0,100,BUF->MSP
6874,1678,290,1968,BUF->ORD
1370,268,32,300,BUF->PHL
730,144,2,146,BUF->PHX
752,180,14,194,BUF->RSW
1458,238,12,250,BUF->TPA
1888,178,54,232,BUR->DEN
2752,466,72,538,BUR->DFW
326,60,4,64,BUR->IAD
2732,566,32,598,BUR->JFK
10324,1474,110,1584,BUR->LAS
10846,1384,226,1610,BUR->OAK
120,10,8,18,BUR->PDX
9502,984,82,1066,BUR->PHX
2,0,0,0,BUR->PMD
2,0,0,0,BUR->PSP
2,0,0,0,BUR->RNO
2780,462,24,486,BUR->SEA
4516,1194,214,1408,BUR->SFO
